customer_id,gender,status_x,verified_x,created_at_x,updated_at_x,location_number,location_type,latitude_x,longitude_x,id,authentication_id,latitude_y,longitude_y,vendor_category_en,vendor_category_id,delivery_charge,serving_distance,is_open,OpeningTime,OpeningTime2,prepration_time,commission,is_akeed_delivering,discount_percentage,status_y,verified_y,rank,language,vendor_rating,sunday_from_time1,sunday_to_time1,sunday_from_time2,sunday_to_time2,monday_from_time1,monday_to_time1,monday_from_time2,monday_to_time2,tuesday_from_time1,tuesday_to_time1,tuesday_from_time2,tuesday_to_time2,wednesday_from_time1,wednesday_to_time1,wednesday_from_time2,wednesday_to_time2,thursday_from_time1,thursday_to_time1,thursday_from_time2,thursday_to_time2,friday_from_time1,friday_to_time1,friday_from_time2,friday_to_time2,saturday_from_time1,saturday_to_time1,saturday_from_time2,saturday_to_time2,primary_tags,open_close_flags,vendor_tag,vendor_tag_name,one_click_vendor,country_id,city_id,created_at_y,updated_at_y,device_type,display_orders,location_number_obj,id_obj,CID X LOC_NUM X VENDOR,target
TCHWPBT,Male,,1,07/02/2018 19:16,07/02/2018 19:16,0,Work,-96.44,-67.2,4,118597,-0.5884,0.7544,Restaurants,2,0,6,1,11:00AM-11:30PM,-,15,0,Yes,0,1,1,11,EN,4.4,00:00:00,00:30:00,08:00:00,23:59:00,00:00:00,00:30:00,08:00:00,23:59:00,00:00:00,00:30:00,08:00:00,23:59:00,00:00:00,00:30:00,08:00:00,23:59:00,00:00:00,00:30:00,08:00:00,23:59:00,00:00:00,00:30:00,10:00:00,23:59:00,00:00:00,00:30:00,10:00:00,23:59:00,"{""primary_tags"":""4""}",1,"2,4,5,8,91,22,12,24,16,23","Arabic,Breakfast,Burgers,Desserts,Free Delivery,Grills,Lebanese,Salads,Sandwiches,Shawarma",Y,1,1,30/01/2018 14:42,07/04/2020 15:12,3,1,0,4,TCHWPBT X 0 X 4,0
TCHWPBT,Male,,1,07/02/2018 19:16,07/02/2018 19:16,0,Work,-96.44,-67.2,13,118608,-0.4717,0.7446,Restaurants,2,0.7,5,1,08:30AM-10:30PM,-,14,0,Yes,0,1,1,11,EN,4.7,00:00:00,01:30:00,08:00:00,23:59:00,00:00:00,01:30:00,08:00:00,23:59:00,00:00:00,01:30:00,08:00:00,23:59:00,00:00:00,01:30:00,08:00:00,19:30:00,00:00:00,01:30:00,08:00:00,19:30:00,00:00:00,01:30:00,08:00:00,23:59:00,00:00:00,01:30:00,08:00:00,23:59:00,"{""primary_tags"":""7""}",1,"4,41,51,34,27,15,24,16,28","Breakfast,Cakes,Crepes,Italian,Pasta,Pizzas,Salads,Sandwiches,Soups",Y,1,1,03/05/2018 12:32,05/04/2020 20:46,3,1,0,13,TCHWPBT X 0 X 13,0
TCHWPBT,Male,,1,07/02/2018 19:16,07/02/2018 19:16,0,Work,-96.44,-67.2,20,118616,-0.4075,0.6436,Restaurants,2,0,8,1,08:00AM-10:45PM,-,19,0,Yes,0,1,1,1,EN,4.5,08:00:00,22:45:00,,,08:00:00,22:45:00,,,08:00:00,22:45:00,,,08:00:00,22:45:00,,,08:00:00,22:45:00,,,08:00:00,22:45:00,,,08:00:00,22:45:00,,,"{""primary_tags"":""71""}",1,"4,8,91,10","Breakfast,Desserts,Free Delivery,Indian",Y,1,1,04/05/2018 22:28,07/04/2020 16:35,3,1,0,20,TCHWPBT X 0 X 20,0
TCHWPBT,Male,1,1,07/02/2018 19:16,07/02/2018 19:16,0,Work,-96.44,-67.2,23,118619,-0.5854,0.754,Restaurants,2,0,5,1,10:59AM-10:30PM,-,16,0,Yes,0,1,1,11,EN,4.5,09:00:00,23:30:00,,,09:00:00,23:30:00,,,09:00:00,23:30:00,,,09:00:00,23:30:00,,,09:00:00,23:45:00,,,09:00:00,23:45:00,,,09:00:00,23:45:00,,,"{""primary_tags"":""46""}",1,"5,8,30,24","Burgers,Desserts,Fries,Salads",Y,1,1,06/05/2018 19:20,02/04/2020 00:56,3,1,0,23,TCHWPBT X 0 X 23,0
TCHWPBT,Male,1,1,07/02/2018 19:16,07/02/2018 19:16,0,Work,-96.44,-67.2,28,118624,0.4807,0.5527,Restaurants,2,0.7,15,1,11:00AM-11:45PM,-,10,0,Yes,0,1,1,11,EN,4.4,00:01:00,00:30:00,11:00:00,23:59:00,00:01:00,00:30:00,11:00:00,23:59:00,00:01:00,00:30:00,11:00:00,23:59:00,00:01:00,00:30:00,11:00:00,23:59:00,00:01:00,00:30:00,11:00:00,23:59:00,00:01:00,01:30:00,17:45:00,23:59:00,00:01:00,01:30:00,17:45:00,23:59:00,"{""primary_tags"":""32""}",1,5,Burgers,Y,1,1,17/05/2018 22:12,05/04/2020 15:57,3,1,0,28,TCHWPBT X 0 X 28,0
TCHWPBT,Male,1,1,07/02/2018 19:16,07/02/2018 19:16,0,Work,-96.44,-67.2,33,118629,-0.4946,0.743,Restaurants,2,0.7,6,1,11:00AM-10:30PM,-,17,0,Yes,0,1,1,11,EN,4.6,08:00:00,23:59:00,00:00:00,01:00:00,08:00:00,23:59:00,00:00:00,01:00:00,09:00:00,23:59:00,00:00:00,01:00:00,09:00:00,23:59:00,00:00:00,01:00:00,08:00:00,23:59:00,00:00:00,01:00:00,08:00:00,23:59:00,00:00:00,01:00:00,08:30:00,23:59:00,00:00:00,01:00:00,"{""primary_tags"":""51""}",1,"8,42","Desserts,Mexican",Y,1,1,24/05/2018 17:23,07/04/2020 15:04,3,1,0,33,TCHWPBT X 0 X 33,0
TCHWPBT,Male,1,1,07/02/2018 19:16,07/02/2018 19:16,0,Work,-96.44,-67.2,43,118639,-0.115,0.546,Restaurants,2,0.7,15,1,11:00AM-11:45PM,-,15,0,Yes,0,1,1,11,EN,4.3,00:01:00,00:30:00,11:00:00,23:59:00,00:01:00,00:30:00,11:00:00,23:59:00,00:01:00,00:30:00,11:00:00,23:59:00,00:01:00,00:30:00,11:00:00,23:59:00,00:01:00,00:30:00,11:00:00,23:59:00,00:01:00,01:30:00,17:45:00,23:59:00,00:01:00,01:30:00,17:45:00,23:59:00,"{""primary_tags"":""8""}",1,"1,5,30,16","American,Burgers,Fries,Sandwiches",Y,1,1,20/06/2018 12:28,07/04/2020 16:56,3,1,0,43,TCHWPBT X 0 X 43,0
TCHWPBT,Male,1,1,07/02/2018 19:16,07/02/2018 19:16,0,Work,-96.44,-67.2,44,118640,-0.9365,0.0819,Restaurants,2,0.7,15,1,11:00AM-11:45PM,-,14,0,Yes,0,1,1,11,EN,4.3,00:01:00,00:30:00,11:00:00,23:59:00,00:01:00,00:30:00,11:00:00,23:59:00,00:01:00,00:30:00,11:00:00,23:59:00,00:01:00,00:30:00,11:00:00,23:59:00,00:01:00,00:30:00,11:00:00,23:59:00,00:01:00,01:30:00,17:45:00,23:59:00,00:01:00,01:30:00,17:45:00,23:59:00,"{""primary_tags"":""8""}",1,"1,5,30,16","American,Burgers,Fries,Sandwiches",Y,1,1,20/06/2018 13:11,07/04/2020 20:09,3,1,0,44,TCHWPBT X 0 X 44,0
TCHWPBT,Male,1,1,07/02/2018 19:16,07/02/2018 19:16,0,Work,-96.44,-67.2,55,118651,-1.17,0.10345,Restaurants,2,0.7,10,1,09:00AM-11:30PM,-,19,0,Yes,0,1,1,11,EN,4.5,09:00:00,23:00:00,,,09:00:00,23:00:00,,,09:00:00,23:00:00,,,09:00:00,23:00:00,,,09:00:00,23:00:00,,,11:59:00,23:59:00,,,11:59:00,23:59:00,,,"{""primary_tags"":""21""}",1,"4,8,22,32,24,16,28","Breakfast,Desserts,Grills,Milkshakes,Salads,Sandwiches,Soups",Y,1,1,22/07/2018 13:18,02/04/2020 19:49,3,1,0,55,TCHWPBT X 0 X 55,0
TCHWPBT,Male,1,1,07/02/2018 19:16,07/02/2018 19:16,0,Work,-96.44,-67.2,66,118662,0.4875,0.565,Restaurants,2,0,15,1,05:00PM-11:00PM,-,20,0,Yes,10,1,1,1,EN,4,10:00:00,21:45:00,,,10:00:00,21:45:00,,,10:00:00,21:45:00,,,10:00:00,21:45:00,,,10:00:00,21:45:00,,,18:00:00,22:45:00,,,18:00:00,22:45:00,,,"{""primary_tags"":""271""}",1,"4,5,8,10,24","Breakfast,Burgers,Desserts,Indian,Salads",Y,1,1,09/08/2018 19:26,02/04/2020 11:41,3,1,0,66,TCHWPBT X 0 X 66,0
TCHWPBT,Male,1,1,07/02/2018 19:16,07/02/2018 19:16,0,Work,-96.44,-67.2,67,118663,-0.181,0.4905,Restaurants,2,0,15,1,08:00AM-11:30PM,-,15,0,Yes,0,1,1,11,EN,4.3,09:00:00,23:00:00,,,09:00:00,23:00:00,,,09:00:00,23:00:00,,,09:00:00,23:00:00,,,09:00:00,23:00:00,,,11:59:00,23:59:00,,,11:59:00,23:59:00,,,"{""primary_tags"":""129""}",1,"4,8,22,32,24,16,28","Breakfast,Desserts,Grills,Milkshakes,Salads,Sandwiches,Soups",Y,1,1,09/08/2018 23:41,07/04/2020 12:25,3,1,0,67,TCHWPBT X 0 X 67,0
TCHWPBT,Male,1,1,07/02/2018 19:16,07/02/2018 19:16,0,Work,-96.44,-67.2,75,118672,-0.6006,0.756,Restaurants,2,0.7,5,1,11:00AM-10:30PM,-,15,0,Yes,0,1,1,11,EN,4.6,11:00:00,22:30:00,,,11:00:00,22:30:00,,,11:00:00,22:30:00,,,11:00:00,22:30:00,,,11:00:00,22:30:00,,,11:59:00,22:30:00,,,11:00:00,22:30:00,,,,1,"3,8,9,11,24,54","Asian,Desserts,Healthy Food,Japanese,Salads,Sushi",Y,1,1,22/08/2018 15:10,02/04/2020 00:52,3,1,0,75,TCHWPBT X 0 X 75,0
TCHWPBT,Male,1,1,07/02/2018 19:16,07/02/2018 19:16,0,Work,-96.44,-67.2,76,118673,0.2563,0.5767,Restaurants,2,0.7,15,1,08:30AM-09:30PM,-,15,0,Yes,0,1,1,11,EN,4.6,08:00:00,21:30:00,,,08:00:00,21:30:00,,,08:00:00,21:30:00,,,08:00:00,21:30:00,,,08:00:00,21:30:00,,,08:00:00,11:30:00,16:00:00,21:30:00,08:00:00,21:30:00,,,"{""primary_tags"":""24""}",1,"16,4,5,52","Sandwiches,Breakfast,Burgers,Mojitos",Y,1,1,26/08/2018 14:45,24/03/2020 12:51,3,1,0,76,TCHWPBT X 0 X 76,0
TCHWPBT,Male,1,1,07/02/2018 19:16,07/02/2018 19:16,0,Work,-96.44,-67.2,78,118675,-0.555,0.1963,Restaurants,2,0.7,15,0,11:00AM-11:00PM,-,17,0,Yes,0,0,1,11,EN,4.4,00:01:00,02:00:00,18:00:00,23:59:00,00:01:00,02:00:00,18:00:00,23:59:00,00:01:00,02:00:00,18:00:00,23:59:00,00:01:00,02:00:00,18:00:00,23:59:00,00:01:00,02:00:00,18:00:00,23:59:00,00:01:00,02:00:00,18:00:00,23:59:00,00:01:00,02:00:00,18:00:00,23:59:00,,1,"15,34,4,28,27,24,8","Pizzas,Italian,Breakfast,Soups,Pasta,Salads,Desserts",Y,1,1,26/08/2018 21:47,31/03/2020 22:16,3,1,0,78,TCHWPBT X 0 X 78,0
TCHWPBT,Male,1,1,07/02/2018 19:16,07/02/2018 19:16,0,Work,-96.44,-67.2,79,118676,0.635,0.5273,Restaurants,2,0,15,1,11:59AM-2:15 am,-,15,0,Yes,0,1,1,11,EN,4.7,11:00:00,23:45:00,,,11:00:00,23:45:00,,,11:00:00,23:45:00,,,11:00:00,23:45:00,,,11:00:00,23:45:00,,,17:00:00,23:45:00,,,11:00:00,23:45:00,,,"{""primary_tags"":""323""}",1,"5,8,91,27,16","Burgers,Desserts,Free Delivery,Pasta,Sandwiches",Y,1,1,26/08/2018 22:36,07/04/2020 17:46,3,1,0,79,TCHWPBT X 0 X 79,0
TCHWPBT,Male,1,1,07/02/2018 19:16,07/02/2018 19:16,0,Work,-96.44,-67.2,81,118678,-0.712,0.06335,Restaurants,2,0,15,1,08:00AM-12:30PM,05:00PM-11:30PM,15,0,Yes,0,1,1,11,EN,3.8,00:01:00,00:59:00,08:00:00,23:59:00,00:01:00,00:59:00,08:00:00,23:59:00,00:01:00,00:59:00,08:00:00,23:59:00,00:01:00,00:59:00,08:00:00,23:59:00,00:01:00,00:59:00,08:00:00,23:59:00,00:01:00,00:59:00,08:00:00,23:59:00,00:00:00,00:59:00,08:00:00,23:59:00,,1,"2,4,8,53,13,24,16","Arabic,Breakfast,Desserts,Mandazi,Omani,Salads,Sandwiches",Y,1,1,01/09/2018 20:31,04/04/2020 13:38,3,1,0,81,TCHWPBT X 0 X 81,0
